Site,Year,Depth,Coverage,Min Temp,Max Temp,Avg Temp,Med Temp,Prev Coverage
"Kimbe Island",2021,1,3L,29.30522025,30.77623127,30.090434444166664,30.059477955,3L
"Heron Island",1997,1,2U,20.36206317,27.07341282,23.624756229166668,23.76632628,2U
"Heron Island",1998,1,2U,20.25411486,27.58395052,23.732888925833336,23.385064405,2U
"Heron Island",1999,1,3U,20.30440621,27.41777778,23.910695550833335,23.740363799999997,2U
"Heron Island",2000,1,3L,21.00250672,26.93318145,24.088566619166667,24.337357330000003,3U
"Heron Island",2001,1,3U,21.00250672,28.40776332,24.418439458333335,24.337357330000003,3L
"Heron Island",2002,1,3U,20.6641929,28.59426402,24.961398271666667,25.282785325,3U
"Heron Island",2003,1,3L,20.6641929,29.16085136,25.147514361666666,25.525382055,3U
"Heron Island",2004,1,2U,20.6641929,29.16085136,25.147514361666666,25.525382055,3L
"Heron Island",2005,1,2U,20.6641929,29.16085136,25.147514361666666,25.525382055,2U
"Heron Island",2007,1,2U,21.38403854,26.97153633,24.375252588333336,25.099581285,2U
"Heron Island",2009,1,2U,20.53756844,27.33721024,24.304092473333327,24.293332245000002,2U
"Heron Island",2011,1,2L,20.10130423,27.40384776,23.627369757500006,23.708031135,2L
"Heron Island",2013,1,2L,20.2497575,27.36755663,23.993927960000004,23.868240325000002,2L
"Heron Island",2015,1,2L,21.44612115,27.36755663,24.5354641025,24.43810157,2L
"Heron Island",2017,1,4L,21.44612115,27.36755663,24.5354641025,24.43810157,4L
"Heron Island",2019,1,3U,21.0569486,27.2426933,24.233993985833333,24.22004434,3U
"Heron Island",2021,1,5L,21.0569486,28.7039679,24.522399911666668,24.14235783,5L
"Dugong Island",2020,1,1L,25.4166528,30.21189899,27.750429645,27.69741044,1L
"Dugong Island",2021,1,1L,25.70581005,29.40058416,27.681167068333334,27.990577860000002,1L
"Small Lagoon Reef",2006,1,1L,22.88117209,28.12514181,25.63741211583334,25.87282111,1L
"Small Lagoon Reef",2008,1,1L,22.88117209,28.12514181,25.63741211583334,25.87282111,1L
"Small Lagoon Reef",2010,1,1L,22.88117209,28.12514181,25.63741211583334,25.87282111,1L
"Small Lagoon Reef",2012,1,1U,22.88117209,28.12514181,25.63741211583334,25.87282111,1U
"Small Lagoon Reef",2014,1,2L,22.88117209,28.12514181,25.63741211583334,25.87282111,2L
"Small Lagoon Reef",2016,1,2U,22.88117209,28.12514181,25.63741211583334,25.87282111,2U
"Small Lagoon Reef",2018,1,3L,22.47318759,27.62848921,25.223750390000006,25.390101299999998,3L
"Small Lagoon Reef",2020,1,2U,22.27714299,27.44486599,25.019100015000003,25.117232095,2U
"21-187 Reef",2006,1,3U,23.05122339,28.38304797,25.873373429999997,26.026752035,3U
"21-187 Reef",2008,1,3U,23.05122339,28.38304797,25.873373429999997,26.026752035,3U
"21-187 Reef",2010,1,1L,23.05122339,28.38304797,25.873373429999997,26.026752035,1L
"21-187 Reef",2012,1,1L,23.05122339,28.38304797,25.873373429999997,26.026752035,1L
"21-187 Reef",2014,1,2L,23.05122339,28.38304797,25.873373429999997,26.026752035,2L
"21-187 Reef",2016,1,2L,23.05122339,28.38304797,25.873373429999997,26.026752035,2L
"21-187 Reef",2018,1,2U,22.49848873,27.64105439,25.285394764999996,25.533669505,2U
"21-187 Reef",2020,1,3U,22.78202587,28.6907859,25.555054983333335,25.55033908,3U
"Horseshoe Reef",1997,1,2U,22.95063174,28.17199819,25.461559756666663,25.17569393,2U
"Horseshoe Reef",1998,1,2U,22.95063174,28.17199819,25.461559756666663,25.17569393,2U
"Horseshoe Reef",1999,1,2L,22.95063174,28.17199819,25.461559756666663,25.17569393,2U
"Horseshoe Reef",2000,1,2L,22.95063174,28.17199819,25.461559756666663,25.17569393,2L
"Horseshoe Reef",2001,1,1U,22.95063174,28.17199819,25.461559756666663,25.17569393,2L
"Horseshoe Reef",2002,1,1U,22.95063174,28.17199819,25.461559756666663,25.17569393,1U
"Horseshoe Reef",2003,1,1L,22.95063174,28.17199819,25.461559756666663,25.17569393,1U
"Horseshoe Reef",2004,1,1L,22.95063174,28.17199819,25.461559756666663,25.17569393,1L
"Horseshoe Reef",2005,1,1L,22.95063174,28.17199819,25.461559756666663,25.17569393,1L
"Horseshoe Reef",2006,1,1L,22.95063174,28.17199819,25.461559756666663,25.17569393,1L
"Horseshoe Reef",2007,1,1L,22.95063174,28.17199819,25.461559756666663,25.17569393,1L
"Horseshoe Reef",2009,1,1L,22.95063174,28.17199819,25.461559756666663,25.17569393,1L
"Horseshoe Reef",2011,1,1L,22.95063174,28.17199819,25.461559756666663,25.17569393,1L
"Horseshoe Reef",2013,1,1U,22.95063174,28.17199819,25.461559756666663,25.17569393,1U
"Horseshoe Reef",2015,1,2U,22.95063174,28.17199819,25.461559756666663,25.17569393,2U
"Horseshoe Reef",2017,1,2U,22.95063174,28.17199819,25.461559756666663,25.17569393,2U
"Horseshoe Reef",2019,1,1L,22.32939236,27.38102995,24.978668921666664,25.096105719999997,1L
"Horseshoe Reef",2021,1,1L,22.46644088,27.63705148,25.228088908333334,25.45075369,1L
"Farquharson Reef",2006,1,1L,24.03858631,29.71773384,27.301799180833328,27.535078650000003,1L
"Farquharson Reef",2008,1,1L,24.03858631,29.71773384,27.301799180833328,27.535078650000003,1L
"Farquharson Reef",2010,1,1L,24.03858631,29.71773384,27.301799180833328,27.535078650000003,1L
"Farquharson Reef",2012,1,1L,24.03858631,29.71773384,27.301799180833328,27.535078650000003,1L
"Farquharson Reef",2016,1,2L,24.03858631,29.71773384,27.330926888333327,27.535078650000003,2L
"Farquharson Reef",2018,1,1U,23.93415806,28.93048474,26.54516300666667,26.836178815,1U
"Farquharson Reef",2020,1,1L,23.01192939,30.21630849,26.361298133333335,26.48543725,1L
"Helix Reef",1999,1,2U,23.81955108,28.67123775,26.24862978333333,26.44746228,2U
"Helix Reef",2002,1,2U,23.81955108,28.67123775,26.24862978333333,26.44746228,2U
"Helix Reef",2003,1,3L,23.81955108,28.67123775,26.24862978333333,26.44746228,2U
"Helix Reef",2005,1,3L,23.81955108,28.67123775,26.24862978333333,26.44746228,3L
"Helix Reef",2006,1,2U,23.81955108,28.67123775,26.24862978333333,26.44746228,3L
"Helix Reef",2008,1,2L,23.81955108,28.67123775,26.24862978333333,26.44746228,2L
"Helix Reef",2010,1,2U,23.81955108,28.67123775,26.24862978333333,26.44746228,2U
"Helix Reef",2012,1,1L,23.81955108,28.67123775,26.24862978333333,26.44746228,1L
"Helix Reef",2014,1,2L,23.81955108,28.67123775,26.24862978333333,26.44746228,2L
"Helix Reef",2016,1,2L,23.81955108,28.67123775,26.24862978333333,26.44746228,2L
"Helix Reef",2018,1,3L,23.81955108,28.67123775,26.24862978333333,26.44746228,3L
"Helix Reef",2020,1,3U,24.06694628,29.72000553,26.662901900833333,26.6302284,3U
"Boult Reef",2006,1,3U,21.16567251,26.31361633,24.07374114833333,24.13812273,3U
"Boult Reef",2008,1,2U,21.16567251,26.31361633,24.07374114833333,24.13812273,2U
"Boult Reef",2010,1,1U,21.16567251,26.31361633,24.07374114833333,24.13812273,1U
"Boult Reef",2012,1,2L,21.16567251,26.31361633,24.07374114833333,24.13812273,2L
"Boult Reef",2014,1,2L,21.16567251,26.31361633,24.033985601666668,24.316764929999998,2L
"Boult Reef",2016,1,3L,21.78565781,26.9907753,24.551454504166667,24.40225569,3L
"Boult Reef",2018,1,3L,21.78565781,26.9907753,24.434560905,24.36516262,3L
"Boult Reef",2020,1,3U,21.45420397,27.00145682,24.38654703916667,24.352603045000002,3U
"Boult Reef",2021,1,4U,21.45420397,27.00145682,24.38654703916667,24.352603045000002,3U
"Lagoon Reef",1998,1,3L,24.92695226,29.09823712,27.035233007499997,27.341573445,3L
"Lagoon Reef",2005,1,2U,24.92695226,29.09823712,27.035233007499997,27.341573445,2U
"Lagoon Reef",2006,1,2U,24.92695226,29.09823712,27.035233007499997,27.341573445,2U
"Lagoon Reef",2019,1,3L,24.42309297,28.68252168,26.613296239999997,26.74689676,3L
"Lagoon Reef",2020,1,3U,25.15123788,29.36031425,27.148738372500002,27.18395938,3L
"Lagoon Reef",2021,1,3L,24.62400799,28.66271577,26.610145577500003,26.869724185000003,3U
"Davies Reef",1997,1,2U,23.34353846,29.54739583,26.483794749999998,26.582319445,2U
"Davies Reef",1998,1,3L,24.0544751,29.54739583,26.774229025833332,27.02687153,2U
"Davies Reef",1999,1,3L,22.87881048,28.72066038,25.979671880833333,26.004812610000002,3L
"Davies Reef",2000,1,2U,22.75161559,28.18067876,25.722071420000002,26.139507645000002,3L
"Davies Reef",2001,1,2L,23.69319422,28.6162836,26.37196955083333,26.722009035,2U
"Davies Reef",2002,1,2U,23.29390477,29.33328657,26.176759142500003,25.90445154,2L
"Davies Reef",2003,1,2U,23.76121953,28.92232292,26.244793565833334,25.971535655,2U
"Davies Reef",2004,1,2U,23.56878945,29.05596909,26.296304963333338,26.454961339999997,2U
"Davies Reef",2005,1,2U,23.29515054,29.01873512,26.341970678333336,26.626999294999997,2U
"Davies Reef",2007,1,2L,23.5028789,29.52671322,26.37116517583333,26.58873534,2L
"Davies Reef",2009,1,2U,23.5484166,29.13723824,25.912992696666667,25.437802885,2U
"Davies Reef",2011,1,1U,23.5484166,29.13723824,25.912992696666667,25.437802885,1U
"Davies Reef",2013,1,1U,23.5484166,29.13723824,25.912992696666667,25.437802885,1U
"Davies Reef",2015,1,2L,23.5484166,29.13723824,25.912992696666667,25.437802885,2L
"Davies Reef",2017,1,2U,23.5484166,29.13723824,25.912992696666667,25.437802885,2U
"Davies Reef",2019,1,3L,23.5484166,29.13723824,25.912992696666667,25.437802885,3L
"Davies Reef",2021,1,3L,23.5484166,29.13723824,25.912992696666667,25.437802885,3L
"Rib Reef",1997,1,3U,22.94388902,27.99579106,25.876290110000003,26.275020044999998,3U
"Rib Reef",1998,1,3U,22.94388902,27.99579106,25.876290110000003,26.275020044999998,3U
"Rib Reef",1999,1,3L,22.94388902,27.99579106,25.876290110000003,26.275020044999998,3U
"Rib Reef",2000,1,2L,22.94388902,27.99579106,25.876290110000003,26.275020044999998,3L
"Rib Reef",2001,1,1L,22.94388902,27.99579106,25.876290110000003,26.275020044999998,2L
"Rib Reef",2002,1,1L,22.94388902,27.99579106,25.876290110000003,26.275020044999998,1L
"Rib Reef",2003,1,1L,22.94388902,27.99579106,25.876290110000003,26.275020044999998,1L
"Rib Reef",2004,1,1L,22.94388902,27.99579106,25.876290110000003,26.275020044999998,1L
"Rib Reef",2005,1,1U,22.94388902,27.99579106,25.876290110000003,26.275020044999998,1L
"Rib Reef",2006,1,1L,22.94388902,27.99579106,25.876290110000003,26.275020044999998,1U
"Rib Reef",2007,1,1U,22.94388902,27.99579106,25.876290110000003,26.275020044999998,1L
"Rib Reef",2008,1,2L,22.94388902,27.99579106,25.876290110000003,26.275020044999998,1U
"Rib Reef",2009,1,2L,22.94388902,27.99579106,25.876290110000003,26.275020044999998,2L
"Rib Reef",2010,1,2U,22.94388902,27.99579106,25.876290110000003,26.275020044999998,2L
"Rib Reef",2011,1,1U,22.94388902,27.99579106,25.876290110000003,26.275020044999998,2U
"Rib Reef",2012,1,1L,22.94388902,27.99579106,25.876290110000003,26.275020044999998,1U
"Rib Reef",2013,1,2U,22.94388902,27.99579106,25.876290110000003,26.275020044999998,1L
"Rib Reef",2014,1,3L,23.42779525,28.39392926,26.0757749175,26.431250705,2U
"Rib Reef",2015,1,3U,23.67990448,29.41717142,26.547338094166665,26.45827207,3L
"Rib Reef",2016,1,4U,23.67990448,28.82311063,26.237713445833332,26.45827207,3U
"Rib Reef",2017,1,2U,23.67990448,28.82311063,26.237713445833332,26.45827207,4U
"Rib Reef",2018,1,1U,23.67990448,28.82311063,26.237713445833332,26.45827207,2U
