site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Julian Rocks,1028,JULN,3210,9.0,Water Temperature,-28.6109,153.6285,,LADY MUSGRAVE REEF,23082S,-23.908333,152.408333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.83020687022901,21.611172847222225,20.46282036290323,19.89396626344086,19.595675,20.51319079301076,20.540221041666666,22.857573958333333,23.03579939516129,24.971386830357147,24.303378293010752,23.50398534722222,22.237401680107524,21.347533055555555,19.2123499327957,19.02771733870968,19.552203819444443,19.292788575268816,20.006326666666663,22.23347022849462,24.73451733870968,24.72086882183908,23.54179025537634,22.897961319444445,21.73874650537634,20.8399933908046,19.73012197580645,18.69067103494624,18.74286756944444,19.119776798924008,21.3249375,21.107841599462365,23.580685887096774,24.70105513392857,24.626099059139783,23.718310694444448,22.4638374327957,19.939351666666667,18.33135934139785,18.589534139784945,18.29399430555556,20.04407211021505,20.720892916666667,21.38654240591398,22.188477352150542,23.51105007440476,24.749181036834923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimbe Island,1035,KIMSL1,4004,9.0,Water Temperature,-5.2015,150.3778,,MER,00085S,-9.918333,144.051667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.83173314606741,29.793143817204303,29.493197916666663,29.31051478494624,29.08171706989248,29.1624875,29.93457190860215,30.31416527777778,30.58277956989248,30.84651545698925,29.88533258928572,30.15972782258065,30.473833449235048,30.67457217741936,30.700205277777776,29.794243077956992,28.795455779569888,28.92115965277778,29.115050672043008,29.637680625,30.485656048387096,30.376891733870966,30.18444546130953,30.082511693548387,29.997547557471268,30.06775134408602,30.11099583333333,28.991841397849463,29.24986962365592,29.656882638888888,30.16042338709677,30.0937,30.27705981182796,29.5073125,30.38079454022989,30.73078225806451,29.93580495689656,30.00258870967742,29.722470277777777,29.594734206989248,29.61936680107527,30.08854423611111,30.476538911290326,30.5267525,30.63924926075269,30.30661727150537,30.068991889880948,30.230257795698925,30.375388263888887,30.622725539568343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren Island,1041,BARRSL1,3262,9.0,Water Temperature,-23.1578,151.0707,23-031,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.22241639344262,22.609128360215056,24.15927291666667,25.243880376344087,26.166806451612903,26.54372023809524,26.85339717741936,25.063766666666663,24.371756720430103,21.515681944444445,19.05402016129032,19.74887567204301,20.80618611111112,23.14357997311828,24.43365555555556,25.22010652173913,,,,,,,19.047279411764706,19.01733225806452,20.73728013888889,22.87760504032257,25.063204722222224,27.671103897849463,27.54891102150538,27.2418140625,26.65982466397849,25.67181930555556,23.81449047085201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Reef,1047,CHISL1,2635,9.0,Water Temperature,-18.6521,147.7217,18-086,CHICKEN REEF,18086S,-18.658333,147.708333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.638135,24.53596333333334,24.362476666666662,24.51895483870968,24.819006666666667,25.7235064516129,26.518886666666667,27.99566,28.542148387096773,28.501267857142853,28.16126774193548,26.65234738878144,25.676118660394263,24.140071180555555,23.813375201612903,24.01003425179212,24.490852337962966,25.475258870967743,26.87881775462963,27.741849551971328,28.06612988351254,28.241086507936508,28.03315642921147,27.2946857175926,26.121010931899644,24.56231539351852,23.48876514336918,23.33318644713261,23.652147662037034,25.02776962365592,26.270129791666665,27.424003113799284,28.58282972670251,29.317436829501915,28.50733850806452,27.788077685185183,26.3534013425926,24.91889247685185,24.098650560035843,23.959057638888886,24.702777337962964,25.440456003584227,26.77600673611111,28.04186467293907,28.290047692652333,28.44376294642857,28.2184909929078,,,,,,,,,
Cook Island,1053,COOK,3641,9.0,Water Temperature,-28.1931,153.5785,,LADY MUSGRAVE REEF,23082S,-23.908333,152.408333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.196493225806453,21.57251270833333,20.44995685483871,20.146132594086023,19.91113402777778,20.689224126344087,21.26650090277778,22.799605625,23.27320840053764,24.83713988095238,24.772868413978497,23.53970875,22.226329099462365,21.442129375,19.22887701612904,18.92263071236559,19.497815763888887,19.38303581989248,20.440370902777776,22.466168951612907,24.43774065860215,24.23990057471264,23.2656499327957,22.90416833333333,21.83336310483871,20.86664638888889,19.777704099462365,18.83955813172043,18.674106557377048,,,,,,,,22.24995860306644,20.26306618055556,18.85571807795699,18.746870430107528,18.600205625,20.447070430107527,21.093781458333336,21.46965557795699,22.89923870967742,23.816074107142857,24.71534737903226,23.966168153846155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flinders Reef,1070,FLINDERSSL2,14617,9.0,Water Temperature,-17.7123,148.4509,,COIL REEF,18046S,-18.441667,147.516667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.97705111242955,28.432906832437272,28.64317678571429,28.33939825268817,26.76991877314815,25.9433376344086,24.93178351851852,24.605918974014337,24.28607585125448,24.434968773148142,25.537581294802862,27.0320493287037,28.00080436827957,27.960164538530464,28.08953447420635,28.34555725806452,27.42966914351852,26.396669802867383,24.92526418981481,23.91292862903226,23.82753389336917,24.31848997685185,25.215664964157703,26.04200314814815,27.627572222222224,28.73324988799284,29.891453257328987,,,,,,,,,,,,,,,,,,,,,,
Vannessas,1078,VANSL1,3961,9.0,Water Temperature,-5.295,150.1285,,MER,00085S,-9.918333,144.051667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.73266103896104,30.409083911671928,,,,,,,,,,,,,29.733260588657576,29.321557638888887,29.136854166666662,28.838895833333336,28.984100694444447,29.70092002688172,30.24164375,30.777083333333334,30.90252150537635,30.47186235119048,30.552727150537635,30.48076388888889,30.366893817204303,30.26904375,29.3035873655914,28.35033445491252,28.547053808525508,28.60939459459459,29.22228194444444,30.12010483870968,30.43118548387097,30.639758928571425,30.53042069892473,30.38013218390805,30.24345564516129,30.14972013888889,28.904531586021506,29.11222916666667,29.638049305555555,30.180633736559138,30.17053333333333,30.563783602150536,30.121721102150538,30.82135201149425,31.28890456989248,30.03830840517241,29.995092338709675,29.52654104166667,29.384338575268817,29.210758602150538,29.65438340277777,30.21101599462365,30.37842805555556,30.59268904569893,30.513779099462365,30.40680543154761,30.61671404569892,30.607882291666662,30.616971116504853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Reef,1098,SCOTTSL1,3988,9.0,Water Temperature,-14.0793,121.948,,BIRD ISLANDS REEF (NORTH),11167S,-11.766667,143.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.03676619718309,30.18947587365592,29.02148337765957,,,,,,,,,30.515658173076925,31.057345277777777,30.113869220430104,28.705844166666665,27.72812567204301,27.333916129032257,28.12841805555556,29.25205710227273,,,,,,,,,,,,,,,,,,,29.246481021341463,27.83296861111111,27.13211612903225,26.914087836021505,27.33525347222222,28.105318292682927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thetford Reef,2015,THETFL1,13535,9.0,Water Temperature,-16.7995,146.1951,16-068,THETFORD REEF,16068S,-16.808333,146.191667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.069821689928325,25.047401759259262,24.4279124327957,24.450644332437275,25.08351391203704,25.10892018369176,26.950205439814813,28.06075203544061,29.00193418458781,29.60205610632184,29.50491933243728,28.49429949074074,27.54510940860215,26.76553708333333,25.787466106630827,24.99950116487455,25.31288592964824,,,,,,,,,,,,,,,28.60549062611807,28.844173095878137,28.997551314484127,28.505521796594984,27.57859599537037,25.95724422043011,24.424194930555554,24.344354144265235,24.730907258064512,25.099491597222222,25.82661137992832,27.33921027777778,28.21986164874552,28.441299932795697,28.872137375992065,28.58801491935484,27.565765648148147,26.396063648992826,24.628427916666663,23.58081843637993,23.68408241487456,24.38113097222222,25.476878181003585,26.52022,27.97523906810036,29.098735528673835,29.687323586309525,29.071295922939072,28.213910069444445,26.53756917562724,25.14649560185185,24.87783783602151,24.745314135304657,25.257937175925925,26.0557875,27.41821835648148,28.748778897849466,29.02483395833333,29.240075421626983,28.40129439964158,27.62498243055555,26.15843814964158,25.247082870370367,25.13535470430108,24.90846191756272,25.125050601851854,26.737656182795696,28.11403798611111,29.327067137096776
Chinaman Reef,2256,CHINAMANSL1,10876,9.0,Water Temperature,-21.9979,152.6686,,CHINAMAN REEF(22102),22102S,-22.008333,152.658333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.40569179123385,27.382121572580647,26.54121414351852,25.19826379928316,23.81948516203704,23.101012298387097,22.513792293906807,22.642903125000004,23.67198989695341,25.387722453703702,26.449330913978496,26.821914112903222,27.252968625992064,27.24143918010753,26.48186184431137,25.40293900089605,24.01652523148148,23.09407538082437,22.38481281362007,22.436354837962966,23.28852771057348,24.69246354166667,26.32935486111111,27.17989289351852,28.508097581417623,27.89869867831541,26.717181736111115,25.21661086469534,24.015570578703706,22.638527867383512,22.095767685185184,22.6031094212963,23.691770721326165,25.37403601851852,26.601378046594984,27.18163496863799,27.42487256944444,27.478151097670253,26.36425946759259,25.08579157706093,23.85938226851852,23.01679475806452,22.32681207437276,22.44495543981481,23.696187365591395,25.430548402777774,26.363911666666667
