site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Dunk Island,1005,DUNKFL1,3168,3.0,Water Temperature,-17.9263,146.1461,17-053,JESSIE-KENT REEF,17043A,-17.676667,146.175,,,1L,,,1U,,,,1U,,,,,,,,,,,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.888348,27.717713194444443,28.558405913978493,28.7998064516129,29.64864732142857,28.68419018817205,26.91530625,25.11220564516129,23.870825694444445,22.429832661290323,22.00984946236559,23.998086805555552,26.4938622311828,28.495070833333333,28.83478561827957,29.70634206989247,30.15684449404762,28.42237231182796,27.43901041666667,25.22819188191882,,,,,,,,,,,,,,21.28208573770492,23.25210389784946,25.44431965277778,27.346005241935487,29.064818472222225,30.55359415322581,30.940260147849465,30.432759841954024,28.476101478494623,27.733115277777777,25.66113360215053,24.054370625,22.93297050408719,21.90370866261398,24.37456701388889,26.452602620967745,28.140596944444447,29.296662029569887,28.799903965053765,28.30710461309524,28.58527661290323,27.886640208333336,24.992304569892468,23.68617055555556,23.42598135495729,23.490508982974912,25.505342337962965,26.57406709229391,26.898989050925927,28.96144211469534,29.14882130376344,29.45986418650794,28.510131877240145,27.02318868055556,25.5693455421147,23.890114953703705,23.046933187560736,,,,,,,,,,,,,,,,,,,,,,,,,22.709685067681896,24.155113680555555,25.452442652329747,27.60709224537037,29.06759829749104,29.298751792114693,30.16118070436508,29.146764560931903,27.05201923611111,25.208285192652333,23.31507976851852,22.27953841845878,22.637645418531665,24.466841712962964,27.33067544802867,27.933058217592592,28.74585474910394,29.315489471326167,28.661367609126984,28.05298646953405,27.66351368055556,25.492235282258065,23.67298442129629,22.25692762923352,,,,,,,,,,,,,,24.854223266219243,24.836104323476704,27.214604421296297,28.72525613799283,29.23351238799283,29.192171360153257,28.96441146744412,,,,,,,,,,,,30.18179553903346,27.497312546296296,25.084587768817205,22.864105115740745,23.17978140681004,23.79783508064516,24.969748027784668,26.86669744623656,27.50478953703704,29.40894191308244,29.15552766577061,28.8569824940048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitzroy Island,1011,FITZFL2,3175,3.0,Water Temperature,-16.9233,145.9963,16-054,FITZROY ISLAND REEF,16054S,-16.925,145.983333,,1L,1L,1U,,2U,1L,,,1L,,,1U/2L,1U,2L,2U,3L,3L,,2U,,,,,2U,,,,3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.90124438202247,27.64232986111111,28.179198924731185,28.48014717741935,29.37121577380952,28.63110349462365,27.00679513888889,25.414829301075272,24.16978333333333,22.86005581708137,22.41221303763441,24.00519930555556,26.42232056451613,27.79293393602225,29.074532930107527,29.082368951612903,29.721139880952386,28.451416666666667,27.506609451007645,25.22637679892401,24.025444027777777,23.998260013440863,24.237677889784948,25.14267055555555,26.177416801075264,28.433713263888887,29.221241532258063,30.95147063172043,30.04059352678572,30.063062432795697,28.07205215277778,27.371837432795697,25.109204583333334,23.53267184139785,23.994181451612903,25.47116375,27.177736155913976,28.803240347222225,29.92605263888889,30.67962345430108,30.73272679597701,28.74650524193548,27.865419652777778,26.21304159946237,24.63250076388889,23.598686693548384,23.70671686046512,,,,,,,,,,,,,,,,,,,,,,,24.70443833333333,24.67735450268817,26.0549675,26.68436583781362,27.24502627314815,29.21124917114696,29.778433512544805,29.670193229166667,29.35717543859649,,23.61997723577236,22.68743965277778,21.83054043458781,22.361026209677416,23.38634238425925,25.68057827060932,27.24373083333333,29.001238732078853,29.13427755376344,29.7434070881226,28.797816465053764,27.14350805555556,25.15460414426523,22.87788087962963,21.8931619623656,22.98338773148148,24.640627407407408,25.741140434587816,27.303631203703706,28.570183714157707,29.27331534498208,30.1113796875,29.08053353494624,27.20728928240741,25.614202464157703,23.740244328703707,22.646405667562725,23.62161293981481,24.81601710648148,26.814465994623653,27.859005324074072,28.31288373655914,29.220542562724017,28.791467063492064,28.00671628584229,27.580016064814817,25.79649280913978,24.6477252997602,,,,,,,,,,,,,,23.22322791193182,,,,,,,29.00611186440678,28.14797398802396,26.898372043010752,25.954634375000005,24.499884560185187,23.50629858870968,25.268529212962964,26.791980533154124,28.00042895833333,28.96452231182796,30.005454681899646,29.956903472222223,30.13853767361111,27.71213671296297,25.29437175179212,23.37404340277778,23.467523947132616,24.14126382168459,24.83985358471844,26.585743167562725,27.39570819444444,28.91775051523297,29.04638725358423,29.134836507936512,28.35158501344086,27.371735416666667,25.356555958781364,23.618325877192987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frankland Islands,1013,FRNKFL2,3176,3.0,Water Temperature,-17.227,146.0904,17-012,NORMANBY-MABEL REEF,17012A,-17.208333,146.083333,1,,,2L,,,1U,,,1L,,,2L,,1U,,,,,,1U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.601381458966564,24.748476250000003,26.991705040322586,28.72126381944444,29.403451680107526,29.82939301075268,30.4563765625,28.982985282258063,27.955256875,25.60877145833333,23.51261666666666,23.38282701612903,23.65291075268817,24.617705277777773,25.62673232526882,27.612420555555552,28.59165120967742,30.101855645161287,29.223297172619045,29.40635322580645,27.596551597222224,26.93747580645161,24.508006527777777,22.707248185483863,23.30377264784946,24.96383777777778,26.56693353494624,28.14742645833333,29.29972553475936,,,,,,,,,,,,,,,,,,,,24.621320466666667,25.543436574074075,26.351966733870967,26.807500023148148,28.514264784946235,29.000690748207887,29.32606842757937,28.53422289426523,26.972851087962965,25.62740853494624,25.55013728070176,,,,,,,,,,,,,,,,,,,,,,,,22.732052730375425,21.625567159498207,22.722678315412185,24.52744055555556,25.668290524193548,27.32119217592593,28.639838754480287,29.26938405017921,30.00976463293652,29.1079188172043,27.23528053240741,25.553838127240144,23.60335020833333,22.58804585573477,23.49823534722222,24.676430902777778,26.95150676523297,27.503821689814814,28.32522594086021,29.054351411290323,28.63937547123016,28.00929121863799,27.58159125,25.699726814516133,24.024100601851853,22.86576722903885,,,,,,,,,,,,,23.517583182595946,24.83156664351852,25.097618036582546,27.232891134259265,28.541522289426524,29.12565967741936,29.322913481800768,29.31925924982635,28.14644606481481,26.923016554659498,25.775364212962963,24.36995526905829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandora Reef,1037,PANCH1,13475,3.0,Water Temperature,-18.8129,146.4265,18-051,HAVANNAH REEF,18065S,-18.85,146.541667,,,,3U,3U,2L,1L,1L,1L,1L,1L,,1U,1L,1L,1U,1L,,1L,,1L,,,,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.492407867494823,20.70142681451613,21.4478460797491,23.902237916666667,25.27850365143369,27.358850023148147,28.751614426523297,29.152328472222223,29.76391344246032,28.83025024641577,26.836085787037035,24.71905237455197,22.860076748084293,21.763811491935485,22.794400448028675,23.97329488425926,26.94283431899641,27.86420037037037,28.71360524193549,29.249455734767025,28.424300620039684,27.91005241935484,27.426631319444446,25.28951720430108,23.45087516762452,21.64042986111111,22.46334616935484,24.27530907407408,26.026536424731184,27.79751125,29.077513552867384,29.73348806003585,29.343619122023807,29.641713172043016,28.301047546296296,25.78773841845878,23.82045699643493,,,,,29.19243801498128,29.28609130824373,29.936740972222225,29.719341019441927,29.17895820564516,29.34632717054264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Reef,1047,CHIFL1,2724,3.0,Water Temperature,-18.6534,147.7199,18-086,CHICKEN REEF,18086S,-18.658333,147.708333,,2U,2L,2U,2L,2U,2L,2L,2L,2L,2L,1U,1U,1U,1U,1U,2L,1U,1L,1L,1L,1L,1U,2L,2L,2L,,2L,2U,28.02172043010753,28.213869047619045,27.295335276967933,,,,,,,,,,,,,,26.894440063091483,25.520785267546906,24.46234700739744,24.425803631472764,25.42432638888889,26.6727620967742,27.501451388888885,28.151666666666664,28.78106182795699,28.781711309523807,28.431827956989245,27.23038074712644,25.65609543010753,25.04471160528144,23.729724462365592,23.153030913978498,23.82733148019458,25.12512786002692,26.47830555555555,26.838279569892475,28.109159381304647,28.125847701149432,27.825295698924737,27.048069444444444,26.11026315789474,,,,,,,,,,,,26.682940469208205,25.38864034722222,24.23974127946128,24.12998653198653,24.755731736111112,25.98958817204301,27.51410319444445,28.712630800269,29.18168567585743,29.31292615740741,28.461921841397853,27.36472513888889,26.436361144781145,25.003406184850583,23.57665228494624,23.50469616935484,24.25855,25.17828461021506,25.955268589298125,27.29441579301076,28.000121370967737,28.626663169642857,28.21644923611111,27.70402293259208,26.030252688172045,25.14490208333333,24.06160080645161,23.827399193548384,24.362314583333333,25.448530241935483,25.95836319444445,27.679520161290323,28.754578629032256,28.89675431034483,28.42560685483871,26.788728682170547,,,,,,,,,,,,,25.98711059479554,24.700210416666668,23.885764112903225,23.51092338709677,24.048186111111114,25.82076866173504,27.15481167477415,28.29595430107528,28.63065188172043,28.976834821428568,28.313586693548388,27.57186439499305,25.793209145931407,24.49279722222222,23.7540120967742,23.4884495967742,23.822318965517244,24.77691216397849,26.51902708333333,27.5136438844086,28.67590100806452,28.47165275297619,28.487367540322577,27.05003652777777,26.573125473933644,25.55787042801557,24.552851545698925,24.42550302419355,25.456359027777783,26.745644086021507,28.13926319444444,29.544798655913976,29.910321438172044,29.843766307471267,28.46907063172043,27.537074166666667,25.97722829301076,24.96843479166667,24.06104227150538,23.84178487903226,25.035041041666663,26.62017547043011,28.05539243055556,29.739617002688167,29.57637540322581,29.528584672619044,28.62266982526881,28.26056836734694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.54591,24.44695333333334,24.540270000000003,24.71014193548387,24.79418333333334,25.64013225806452,26.550216666666667,28.334579999999995,28.656793548387096,28.46830357142857,28.1186,26.64031489361702,25.66422197580645,24.128268958333333,23.83277659050179,24.041128875448027,24.57361657407408,25.606207056451613,26.97064409722222,27.85084314516129,28.051173745519712,28.319884796626983,28.159271102150537,27.28870127314815,26.097300963261645,24.524889675925927,23.47653429659498,23.348022647849465,23.704096064814816,25.10170365143369,26.33592703703704,27.51630394265233,28.636091890681005,29.54445574712644,28.57545400985663,27.78643976851852,26.206915120967743,24.92198037037037,24.083058848566303,24.00282594086021,24.741004583333336,25.519105152329747,26.841052847222223,28.12817885304659,28.289067383512545,28.49810758928572,28.29671755319149,,,,,,,,,
Mermaid Reef,1054,MERMAID_M11_BT,14998,3.0,Water Temperature,-17.133,119.6338,,BIRD ISLANDS REEF (NORTH),11167S,-11.766667,143.083333,,4U,,,,3U,,,,,4U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.575797500000004,29.59370158045977,30.747053931451617,31.20846557459677,,,,,,,,,,,,,,,,,,,,,,,30.054132302181703,30.38825583333333,28.786849910394267,26.91408530092593,25.91903360215053,24.75415454749104,25.673756689814816,26.67038898026316,27.8464831875,27.98853723342294,29.06828827060932,28.87618580357143,29.864228499103945,29.36955510185185,28.118198127240145,26.204746254629622,25.51653210125448,24.80044512992832,25.887426546296293,27.516683771929824,28.678637962962963,30.008569422043006,29.56271341845878,29.504383979885056,30.328093301971325,30.64355291666667,29.15584341397849,27.53732488425926,26.63641220878136,25.92827943548387,26.885536712962967,27.45893006272401,28.48827122685185,29.382403024193547,30.32461205197133,29.656445582329315,,,,,,,,,,
Flinders Reef,1070,FLINDERSSL1,3725,3.0,Water Temperature,-17.7174,148.4452,,COIL REEF,18046S,-18.441667,147.516667,,,,,,,,,,3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.20239379977247,24.80364865591397,24.59080067204301,25.352958356481484,25.80817385752688,26.08695507662836,27.66679413082437,28.11448445340502,28.585472668650795,28.07672529121864,27.439753703703705,26.368715591397848,25.76458408171031,25.588902329749104,25.46950044802868,26.10301388888889,26.531248313090423,,,,,,,,,,,,,,,,,,,,,,,25.233406709956704,25.15439278673835,26.54893016203704,27.048879883512544,28.154565367383512,28.89647973710317,28.1595917562724,26.96301789351852,26.12998806003585,25.052779328703707,24.068489359318995,24.22121956241956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.98117938297241,28.469644556451613,28.70772294146825,28.347489180107527,26.703625856481484,25.751608893369177,24.76690118055556,24.4818918234767,24.216399036738352,24.420229513888888,25.7071017249104,27.173213125,28.05430407706093,27.947467383512542,28.227935763888887,28.41946706989248,27.369803125,26.252981675627243,24.68643034722222,23.73508738799283,23.747220250896056,24.289670069444448,25.28729603494624,26.114123587962965,27.69678991935484,28.78788353494624,29.96943707926167,,,,,,,,,,,,,,,,,,,,,,
Comets Hole,1120,COMETSFL1,5331,3.0,Water Temperature,-31.5391,159.0654,,LADY MUSGRAVE REEF,23082S,-23.908333,152.408333,1,1U,2L,2L,2L,2U,3U,4L,3U,4L/4U,4L,4L,3U,3U,4L,,2U,1U,,1U,1U,2L,,3L,3L,3L,3U,3U,4L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.34392484848485,19.417856805555555,19.15872340949821,19.57563380376344,19.63127055555556,18.963697356630824,20.617082685185185,23.36370891577061,24.051158708979447,,,22.46067120395328,21.012226926523297,19.651149259259256,18.52445965501792,18.35963754480287,19.26913798611111,20.501707638888888,22.23241523148148,22.139515120967744,22.91863965053763,24.64822191091954,23.61279262992832,22.185314117596864,20.62730831093189,19.685185601851853,18.40857927867384,18.239905577956986,18.604871041666662,19.05167116935484,21.01716712962963,23.20558611111111,24.921037500000004,24.27111490575397,23.836827576164875,23.502529189686925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.93069575006324,24.40106272401433,24.154156374007933,24.263306294802867,23.28288474537037,21.242696706989246,19.19443344907408,18.401237455197133,18.490982482078856,19.181228541666663,20.631097939068106,21.42893395833333,22.717935259856635,25.44166458333333,25.022988169642858,24.747106532066507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ili,2077,ILISL1,10364,3.0,Water Temperature,-9.8281,150.8203,,MER,00085S,-9.918333,144.051667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.72993666666667,29.2066084453405,28.278439004629632,27.325874507168457,26.67505085125448,27.48493664351852,28.685473790322582,29.18873895833333,30.746799081541223,30.415984005376348,30.249979501915707,30.26626684587813,29.74196666666667,29.549697670250897,28.316213240740744,27.473545519713262,26.57103918010753,26.91571328703704,27.57468461021505,28.418986319444446,29.05360461469533,30.343955869175627,30.393002678571428,30.002362970430102,29.73444168981481,29.157975877192985,27.931803796296297,26.75663317652329,26.500565277777778,26.836361828703705,27.545676187275983,29.24027962962963,30.260130264336915,29.90453411738351,29.906929265873018,29.349270788530468,29.3133145631068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundegi,2401,BUNDFL1,11975,3.0,Water Temperature,-21.8704,114.1572,,FIFE REEF,13081S,-13.658333,143.725,,,2L,,,3L,,,3U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.513087522644927,28.01175096326165,29.36951841475096,29.196042125896053,27.59908412037037,25.82485970800469,22.77941449652777,21.323695833333336,22.07290732526882,23.421617309027777,24.70039573252689,25.57321183473389,26.68206077348066,29.3987281922043,30.27104434523809,28.15471132392473,27.5961184375,24.710084709821427,21.271262152777776,20.680637096774195,21.50913161962365,22.56823184027778,24.091289751344085,25.76928632901752,26.317655678763444,27.73642116935484,28.84180673363096,29.293272983870963,27.393297152777777,25.63107444852941,,,,,,,25.6900827014218,27.71639301075269,28.43946168154762,28.06724418682796,26.70305791666667,23.451989180107528,22.92255305059524,20.89368813844085,21.64625709005377,22.666896909722222,24.70424553091398,25.561828820474776,25.292109139784948,25.3542061155914,27.39595872844828,27.17401219758064,26.621276076388888,24.26479972677596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
